subscription_id,user_id,subscription_start_date,plan_tier,monthly_revenue,billing_cycle,is_active
S000109,U000302,2025-03-03,Pro,12.99,Monthly,False
S000110,U000304,2025-02-25,Pro,14.99,Annual,False
S000111,U000305,2024-10-21,Pro,14.99,Monthly,False
S000112,U000309,2026-01-15,Pro,14.99,Monthly,False
S000113,U000311,2025-12-02,Pro,14.99,Annual,True
S000114,U000313,2024-07-05,Family,29.99,Monthly,False
S000115,U000314,2024-07-28,Pro,12.99,Annual,False
S000116,U000319,2025-07-22,Pro,14.99,Monthly,False
S000117,U000323,2024-03-05,Family,29.99,Monthly,True
S000118,U000325,2025-05-26,Pro,14.99,Annual,False
S000119,U000328,2024-07-14,Family,29.99,Monthly,False
S000120,U000330,2025-07-10,Family,29.99,Monthly,False
S000121,U000331,2024-04-21,Pro,19.99,Annual,True
S000122,U000334,2025-10-04,Pro,19.99,Annual,False
S000123,U000338,2025-02-27,Family,29.99,Monthly,False
S000124,U000342,2025-09-05,Family,19.99,Monthly,True
S000125,U000343,2025-09-18,Pro,12.99,Annual,False
S000126,U000346,2024-04-06,Family,24.99,Monthly,False
S000127,U000347,2025-04-09,Pro,12.99,Monthly,False
S000128,U000348,2025-11-17,Family,24.99,Monthly,True
S000129,U000352,2024-12-29,Pro,19.99,Monthly,True
S000130,U000354,2024-09-02,Family,19.99,Annual,True
S000131,U000361,2025-12-20,Pro,14.99,Annual,True
S000132,U000362,2025-11-10,Pro,12.99,Monthly,False
S000133,U000363,2024-12-06,Family,24.99,Monthly,False
S000134,U000366,2024-04-22,Pro,19.99,Annual,True
S000135,U000367,2024-02-16,Pro,12.99,Annual,False
S000136,U000370,2025-08-13,Family,29.99,Monthly,False
S000137,U000372,2024-04-17,Pro,14.99,Monthly,True
S000138,U000374,2024-08-25,Pro,14.99,Monthly,True
S000139,U000379,2024-03-31,Family,29.99,Annual,False
S000140,U000391,2024-01-30,Family,24.99,Monthly,False
S000141,U000392,2025-12-18,Family,29.99,Monthly,True
S000142,U000397,2024-05-23,Pro,14.99,Monthly,False
S000143,U000399,2024-05-28,Pro,14.99,Monthly,True
S000144,U000402,2024-07-12,Pro,14.99,Monthly,True
S000145,U000403,2024-10-26,Pro,12.99,Monthly,False
S000146,U000406,2024-08-16,Family,19.99,Monthly,True
S000147,U000407,2025-01-10,Pro,14.99,Monthly,False
S000148,U000408,2024-08-25,Pro,12.99,Monthly,True
S000149,U000409,2026-01-05,Pro,19.99,Monthly,False
S000150,U000410,2025-11-15,Family,29.99,Annual,False
S000151,U000416,2024-05-04,Family,24.99,Monthly,True
S000152,U000418,2025-04-01,Pro,14.99,Monthly,True
S000153,U000420,2024-03-22,Pro,19.99,Monthly,True
S000154,U000422,2024-12-21,Family,24.99,Monthly,False
S000155,U000425,2024-10-13,Family,19.99,Monthly,False
S000156,U000427,2025-04-25,Pro,19.99,Monthly,False
S000157,U000430,2025-03-30,Pro,14.99,Monthly,False
S000158,U000436,2024-06-26,Pro,14.99,Annual,True
S000159,U000438,2024-03-08,Pro,14.99,Monthly,False
S000160,U000439,2025-01-30,Pro,14.99,Monthly,False
S000161,U000442,2024-06-28,Pro,14.99,Monthly,False
S000162,U000447,2025-02-08,Pro,14.99,Annual,True
S000163,U000448,2024-03-13,Pro,14.99,Annual,True
S000164,U000452,2024-10-19,Family,24.99,Annual,False
S000165,U000453,2025-12-18,Pro,12.99,Monthly,False
S000166,U000454,2024-05-11,Family,29.99,Monthly,True
S000167,U000455,2025-01-18,Pro,12.99,Annual,True
S000168,U000456,2025-08-07,Pro,14.99,Monthly,False
S000169,U000458,2025-10-15,Family,19.99,Monthly,False
S000170,U000460,2024-09-25,Pro,19.99,Annual,False
S000171,U000461,2024-07-08,Pro,19.99,Monthly,True
S000172,U000464,2024-02-11,Pro,19.99,Annual,True
S000173,U000466,2025-01-11,Pro,19.99,Monthly,False
S000174,U000475,2024-03-03,Pro,14.99,Annual,True
S000175,U000477,2024-09-14,Pro,19.99,Monthly,True
S000176,U000482,2024-09-03,Pro,12.99,Monthly,True
S000177,U000484,2024-02-15,Pro,19.99,Monthly,True
S000178,U000486,2024-08-01,Family,19.99,Annual,True
S000179,U000487,2025-03-06,Pro,14.99,Monthly,True
S000180,U000488,2025-01-07,Pro,19.99,Annual,False
S000181,U000489,2024-11-05,Family,24.99,Monthly,True
S000182,U000490,2024-03-26,Pro,14.99,Monthly,True
S000183,U000491,2024-10-28,Family,19.99,Monthly,False
S000184,U000492,2025-01-14,Pro,14.99,Monthly,False
S000185,U000495,2025-03-07,Pro,14.99,Monthly,True
S000186,U000499,2024-02-14,Pro,14.99,Monthly,True
S000187,U000500,2024-05-15,Pro,14.99,Annual,True
S000188,U000501,2024-10-16,Pro,12.99,Monthly,True
S000189,U000504,2024-10-27,Pro,12.99,Monthly,False
S000190,U000505,2024-02-28,Family,19.99,Monthly,False
S000191,U000506,2024-05-06,Pro,14.99,Monthly,False
S000192,U000507,2025-09-13,Family,19.99,Monthly,False
S000193,U000509,2025-01-22,Pro,12.99,Annual,False
S000194,U000511,2025-04-07,Pro,19.99,Annual,True
S000195,U000513,2025-06-27,Pro,14.99,Annual,True
S000196,U000515,2025-02-15,Family,29.99,Monthly,False
S000197,U000518,2024-10-04,Pro,19.99,Monthly,True
S000198,U000519,2024-03-14,Pro,14.99,Monthly,True
S000199,U000520,2026-01-14,Pro,14.99,Annual,False
S000200,U000521,2025-04-14,Family,29.99,Annual,True
S000201,U000523,2025-06-28,Pro,14.99,Annual,False
S000202,U000526,2025-12-12,Pro,14.99,Monthly,False
S000203,U000527,2024-08-09,Family,29.99,Monthly,True
S000204,U000531,2025-12-04,Pro,14.99,Monthly,False
S000205,U000534,2024-12-27,Family,24.99,Annual,False
S000206,U000535,2025-11-26,Pro,14.99,Monthly,True
S000207,U000545,2024-11-06,Family,24.99,Annual,True
S000208,U000546,2025-08-20,Family,24.99,Monthly,True
S000209,U000553,2024-07-14,Pro,19.99,Monthly,False
S000210,U000554,2025-10-29,Family,19.99,Annual,True
S000211,U000555,2025-09-09,Pro,14.99,Monthly,True
S000212,U000558,2025-07-30,Pro,14.99,Monthly,True
S000213,U000559,2024-01-25,Family,24.99,Monthly,False
S000214,U000560,2024-12-02,Pro,19.99,Annual,True
S000215,U000563,2025-04-12,Family,24.99,Monthly,False
S000216,U000566,2025-11-14,Pro,14.99,Monthly,False
S000217,U000568,2025-05-23,Pro,14.99,Annual,False
S000218,U000569,2025-04-24,Pro,12.99,Annual,True
S000219,U000571,2025-12-15,Family,19.99,Monthly,True
S000220,U000572,2024-09-03,Pro,12.99,Monthly,True
S000221,U000573,2025-07-13,Family,24.99,Annual,False
S000222,U000576,2025-12-06,Family,29.99,Monthly,False
S000223,U000578,2024-11-09,Pro,14.99,Monthly,True
S000224,U000581,2025-10-15,Pro,12.99,Annual,False
S000225,U000584,2024-04-26,Pro,14.99,Monthly,False
S000226,U000585,2024-09-28,Pro,19.99,Annual,False
S000227,U000587,2024-11-26,Pro,14.99,Annual,False
S000228,U000588,2024-09-08,Family,24.99,Monthly,False
S000229,U000594,2025-05-23,Family,24.99,Monthly,False
S000230,U000595,2025-10-11,Pro,19.99,Monthly,False
S000231,U000596,2024-04-05,Family,29.99,Annual,False
S000232,U000597,2025-05-21,Pro,14.99,Monthly,False
S000233,U000599,2025-11-10,Family,24.99,Monthly,True
S000234,U000604,2025-06-23,Family,19.99,Annual,False
S000235,U000605,2025-02-23,Pro,19.99,Monthly,False
S000236,U000606,2024-09-27,Family,24.99,Monthly,False
S000237,U000607,2024-07-02,Family,29.99,Monthly,False
S000238,U000609,2025-12-14,Family,24.99,Monthly,False
S000239,U000610,2024-01-18,Family,19.99,Monthly,True
S000240,U000611,2024-05-27,Pro,19.99,Monthly,True
S000241,U000612,2025-04-07,Pro,14.99,Monthly,True
S000242,U000614,2024-08-03,Pro,12.99,Annual,True
S000243,U000616,2025-07-09,Pro,12.99,Monthly,True
S000244,U000617,2025-05-09,Pro,19.99,Monthly,False
S000245,U000619,2025-08-18,Pro,14.99,Annual,False
S000246,U000620,2024-10-19,Family,24.99,Monthly,False
S000247,U000627,2025-08-06,Family,19.99,Monthly,True
S000248,U000629,2024-12-13,Family,24.99,Monthly,False
S000249,U000633,2025-03-25,Pro,14.99,Monthly,True
S000250,U000634,2025-08-11,Pro,14.99,Monthly,False
S000251,U000635,2025-04-29,Pro,14.99,Monthly,False
S000252,U000637,2025-05-13,Pro,19.99,Monthly,False
S000253,U000643,2025-07-12,Pro,14.99,Monthly,True
S000254,U000646,2024-09-13,Pro,12.99,Annual,True
S000255,U000648,2025-04-16,Pro,19.99,Monthly,True
S000256,U000649,2024-04-06,Pro,12.99,Monthly,True
S000257,U000651,2024-11-09,Family,29.99,Monthly,False
S000258,U000652,2024-10-03,Family,24.99,Annual,False
S000259,U000655,2024-12-24,Family,29.99,Monthly,False
S000260,U000658,2024-06-15,Pro,14.99,Annual,False
S000261,U000659,2024-07-09,Pro,14.99,Annual,True
S000262,U000660,2024-09-26,Pro,14.99,Monthly,True
S000263,U000661,2025-02-10,Pro,12.99,Annual,False
S000264,U000662,2025-12-30,Pro,14.99,Monthly,True
S000265,U000664,2026-01-14,Family,24.99,Monthly,False
S000266,U000667,2025-04-05,Pro,14.99,Annual,False
S000267,U000668,2025-03-06,Family,29.99,Annual,False
S000268,U000670,2025-07-29,Family,24.99,Monthly,True
S000269,U000672,2025-04-04,Pro,14.99,Monthly,False
S000270,U000676,2025-03-04,Pro,14.99,Monthly,False
S000271,U000679,2024-03-01,Family,24.99,Monthly,False
S000272,U000680,2025-08-22,Pro,14.99,Annual,True
S000273,U000681,2025-02-11,Pro,14.99,Monthly,False
S000274,U000682,2025-05-24,Pro,14.99,Annual,False
S000275,U000683,2024-02-02,Pro,14.99,Monthly,False
S000276,U000688,2025-07-12,Family,19.99,Annual,False
S000277,U000691,2024-09-15,Pro,19.99,Monthly,True
S000278,U000694,2024-11-03,Pro,14.99,Monthly,False
S000279,U000696,2025-06-06,Pro,19.99,Monthly,True
S000280,U000697,2024-02-17,Pro,19.99,Annual,True
S000281,U000698,2025-03-08,Family,29.99,Monthly,False
S000282,U000706,2025-10-16,Pro,19.99,Monthly,True
S000283,U000707,2025-07-18,Pro,12.99,Monthly,False
S000284,U000708,2024-03-03,Pro,19.99,Monthly,False
S000285,U000709,2025-03-16,Family,29.99,Monthly,True
S000286,U000711,2025-08-19,Pro,14.99,Monthly,True
S000287,U000712,2025-12-18,Pro,14.99,Monthly,True
S000288,U000713,2024-02-16,Family,29.99,Annual,True
S000289,U000714,2024-04-24,Pro,12.99,Monthly,False
S000290,U000718,2025-05-10,Pro,12.99,Monthly,True
S000291,U000721,2024-10-30,Family,19.99,Monthly,False
S000292,U000724,2024-08-19,Family,29.99,Monthly,False
S000293,U000730,2025-04-05,Pro,12.99,Monthly,True
S000294,U000731,2024-10-12,Family,19.99,Annual,True
S000295,U000732,2024-04-06,Family,24.99,Monthly,True
S000296,U000738,2024-09-04,Pro,14.99,Annual,False
S000297,U000739,2025-12-02,Family,24.99,Monthly,False
S000298,U000741,2025-11-08,Family,19.99,Annual,True
S000299,U000742,2024-02-28,Pro,14.99,Annual,False
S000300,U000751,2025-05-16,Pro,19.99,Monthly,True
S000301,U000754,2025-08-09,Pro,14.99,Monthly,False
S000302,U000756,2025-05-09,Pro,19.99,Monthly,False
S000303,U000757,2026-01-09,Pro,19.99,Monthly,True
S000304,U000760,2024-07-09,Family,29.99,Monthly,True
S000305,U000761,2025-10-16,Pro,19.99,Annual,False
S000306,U000764,2024-06-28,Family,29.99,Monthly,True
S000307,U000767,2025-09-15,Family,29.99,Monthly,True
S000308,U000776,2025-09-25,Pro,19.99,Monthly,False
S000309,U000777,2025-12-29,Pro,14.99,Annual,True
S000310,U000780,2024-05-18,Family,24.99,Annual,True
S000311,U000782,2024-12-05,Family,24.99,Monthly,False
S000312,U000783,2025-12-28,Pro,19.99,Monthly,True
S000313,U000785,2024-05-20,Pro,19.99,Monthly,False
S000314,U000787,2024-02-27,Pro,14.99,Monthly,False
S000315,U000788,2025-01-10,Pro,19.99,Monthly,True
S000316,U000789,2025-07-10,Pro,12.99,Monthly,False
S000317,U000794,2025-06-13,Pro,19.99,Monthly,False
S000318,U000802,2025-02-05,Pro,19.99,Annual,True
S000319,U000805,2026-01-31,Pro,19.99,Annual,True
S000320,U000809,2025-07-24,Family,19.99,Monthly,True
S000321,U000811,2024-10-31,Pro,14.99,Monthly,True
S000322,U000813,2025-07-28,Pro,14.99,Monthly,True
S000323,U000819,2024-12-15,Pro,14.99,Monthly,False
S000324,U000821,2024-04-24,Family,19.99,Monthly,True
S000325,U000823,2025-05-09,Pro,14.99,Monthly,True
S000326,U000824,2024-09-24,Pro,14.99,Monthly,False
S000327,U000830,2024-12-28,Pro,14.99,Annual,False
S000328,U000831,2024-02-26,Pro,19.99,Monthly,True
S000329,U000833,2024-12-07,Pro,19.99,Monthly,False
S000330,U000838,2024-10-05,Pro,14.99,Monthly,False
S000331,U000840,2024-11-06,Pro,14.99,Annual,True
S000332,U000841,2025-10-01,Family,24.99,Monthly,True
S000333,U000844,2025-08-20,Pro,12.99,Annual,False
S000334,U000846,2025-07-23,Family,24.99,Monthly,False
S000335,U000847,2024-07-29,Family,29.99,Monthly,True
S000336,U000848,2024-04-30,Family,19.99,Monthly,True
S000337,U000851,2025-06-12,Pro,12.99,Monthly,True
S000338,U000856,2025-11-22,Family,24.99,Monthly,True
S000339,U000858,2025-05-27,Family,24.99,Monthly,False
S000340,U000862,2024-11-25,Family,19.99,Monthly,False
S000341,U000863,2024-09-23,Family,24.99,Monthly,True
S000342,U000866,2024-09-26,Family,29.99,Annual,True
S000343,U000868,2025-12-15,Pro,19.99,Monthly,False
S000344,U000869,2025-08-28,Family,19.99,Monthly,False
S000345,U000874,2024-12-31,Family,24.99,Monthly,True
S000346,U000877,2024-12-19,Pro,19.99,Monthly,False
S000347,U000882,2024-11-29,Pro,12.99,Monthly,True
S000348,U000884,2024-09-09,Pro,14.99,Monthly,False
S000349,U000887,2024-12-27,Family,19.99,Annual,True
S000350,U000890,2025-12-18,Pro,12.99,Monthly,False
S000351,U000891,2024-07-30,Pro,12.99,Monthly,True
S000352,U000895,2024-10-25,Pro,12.99,Monthly,True
S000353,U000897,2025-07-22,Pro,12.99,Monthly,False
S000354,U000900,2024-04-25,Pro,19.99,Monthly,False
S000355,U000902,2024-12-07,Family,19.99,Monthly,True
S000356,U000906,2024-11-22,Family,19.99,Monthly,True
S000357,U000908,2026-01-17,Family,24.99,Monthly,False
S000358,U000911,2024-10-31,Family,19.99,Monthly,False
S000359,U000912,2024-03-19,Family,19.99,Monthly,True
S000360,U000913,2024-03-28,Pro,19.99,Monthly,False
S000361,U000914,2025-08-09,Pro,19.99,Annual,True
S000362,U000915,2024-12-03,Pro,19.99,Monthly,True
S000363,U000917,2024-05-25,Pro,12.99,Monthly,False
S000364,U000923,2024-11-18,Pro,19.99,Monthly,True
S000365,U000924,2025-05-26,Family,24.99,Monthly,True
S000366,U000927,2025-01-18,Pro,14.99,Monthly,True
S000367,U000928,2024-08-15,Family,29.99,Monthly,True
S000368,U000930,2024-10-06,Pro,19.99,Monthly,True
S000369,U000931,2025-06-08,Pro,14.99,Annual,False
S000370,U000937,2025-09-04,Family,24.99,Annual,True
S000371,U000938,2025-10-31,Pro,14.99,Monthly,False
S000372,U000940,2024-03-09,Family,24.99,Monthly,True
S000373,U000941,2024-07-05,Pro,12.99,Monthly,False
S000374,U000943,2025-08-30,Pro,12.99,Monthly,True
S000375,U000945,2024-05-03,Pro,19.99,Monthly,False
S000376,U000951,2025-10-03,Family,19.99,Monthly,False
S000377,U000952,2025-10-12,Pro,12.99,Annual,False
S000378,U000953,2024-09-26,Pro,12.99,Annual,False
S000379,U000956,2025-04-17,Pro,14.99,Monthly,False
S000380,U000957,2025-04-15,Pro,14.99,Monthly,True
S000381,U000958,2024-12-11,Pro,14.99,Annual,False
S000382,U000962,2025-08-29,Pro,19.99,Annual,False
S000383,U000969,2024-09-01,Family,24.99,Annual,True
S000384,U000978,2024-07-01,Pro,19.99,Annual,True
S000385,U000980,2025-03-31,Pro,14.99,Annual,False
S000386,U000983,2025-09-19,Pro,12.99,Monthly,True
S000387,U000988,2024-11-09,Pro,19.99,Monthly,True
S000388,U000990,2024-10-28,Pro,14.99,Annual,False
S000389,U000999,2025-12-07,Family,24.99,Monthly,True
S000390,U001006,2024-06-15,Pro,12.99,Monthly,False
S000391,U001008,2024-06-14,Pro,19.99,Monthly,False
S000392,U001009,2024-03-27,Family,24.99,Monthly,False
S000393,U001014,2025-08-27,Pro,14.99,Monthly,True
S000394,U001016,2025-04-22,Pro,14.99,Monthly,True
S000395,U001017,2024-06-07,Family,24.99,Annual,True
S000396,U001021,2026-01-04,Pro,19.99,Monthly,False
S000397,U001022,2025-03-17,Pro,14.99,Annual,True
S000398,U001023,2024-10-26,Family,19.99,Monthly,True
S000399,U001026,2025-06-03,Family,19.99,Monthly,True
S000400,U001029,2025-10-08,Pro,12.99,Monthly,False
S000401,U001032,2024-12-28,Pro,19.99,Monthly,True
S000402,U001035,2024-02-28,Pro,19.99,Annual,False
S000403,U001037,2024-09-18,Pro,14.99,Monthly,True
S000404,U001043,2024-11-10,Pro,12.99,Annual,False
S000405,U001044,2025-09-09,Family,24.99,Monthly,False
S000406,U001048,2025-07-20,Pro,19.99,Monthly,False
S000407,U001050,2025-04-21,Pro,12.99,Monthly,False
S000408,U001051,2024-11-08,Family,24.99,Monthly,False
S000409,U001052,2024-08-02,Pro,19.99,Annual,False
S000410,U001053,2025-09-17,Pro,14.99,Monthly,False
S000411,U001055,2025-11-10,Family,19.99,Monthly,False
S000412,U001056,2025-06-15,Pro,14.99,Annual,False
S000413,U001060,2025-03-07,Pro,19.99,Monthly,False
S000414,U001063,2025-12-01,Pro,14.99,Annual,True
S000415,U001064,2024-05-11,Pro,19.99,Monthly,True
S000416,U001067,2025-03-27,Pro,14.99,Annual,False
S000417,U001069,2025-06-07,Family,24.99,Monthly,True
S000418,U001070,2024-11-06,Pro,19.99,Annual,False
S000419,U001071,2025-12-10,Pro,14.99,Monthly,True
S000420,U001075,2025-04-26,Pro,14.99,Monthly,True
S000421,U001077,2024-12-11,Pro,12.99,Annual,False
S000422,U001079,2024-12-20,Family,29.99,Monthly,True
S000423,U001085,2025-07-19,Pro,14.99,Monthly,False
S000424,U001091,2025-01-22,Pro,19.99,Annual,True
S000425,U001096,2024-03-26,Family,24.99,Monthly,False
S000426,U001105,2024-05-22,Pro,14.99,Annual,False
S000427,U001108,2025-10-04,Family,19.99,Monthly,True
S000428,U001118,2024-09-02,Pro,14.99,Annual,True
S000429,U001119,2024-05-18,Family,29.99,Annual,True
S000430,U001120,2025-05-01,Family,24.99,Monthly,True
S000431,U001124,2025-06-05,Family,24.99,Monthly,False
S000432,U001125,2024-11-09,Family,24.99,Monthly,True
S000433,U001127,2026-01-27,Pro,14.99,Monthly,False
S000434,U001141,2024-04-08,Family,24.99,Annual,False
S000435,U001145,2025-07-01,Pro,19.99,Annual,True
S000436,U001146,2024-10-31,Pro,14.99,Monthly,True
S000437,U001150,2025-09-15,Pro,19.99,Monthly,False
S000438,U001151,2025-09-13,Pro,14.99,Monthly,True
S000439,U001152,2025-12-04,Family,19.99,Monthly,False
S000440,U001156,2025-07-30,Pro,19.99,Monthly,True
S000441,U001160,2025-08-19,Family,24.99,Monthly,False
S000442,U001161,2025-07-25,Pro,14.99,Monthly,False
S000443,U001162,2025-02-19,Pro,19.99,Monthly,False
S000444,U001166,2026-01-04,Pro,14.99,Annual,True
S000445,U001170,2024-09-16,Pro,19.99,Monthly,True
S000446,U001171,2025-03-21,Family,29.99,Monthly,False
S000447,U001172,2024-03-07,Pro,12.99,Monthly,True
S000448,U001177,2025-02-07,Family,24.99,Monthly,True
S000449,U001178,2025-12-21,Pro,19.99,Monthly,False
S000450,U001180,2024-06-16,Family,24.99,Annual,False
S000451,U001181,2025-06-08,Pro,19.99,Annual,True
S000452,U001182,2024-02-25,Pro,12.99,Monthly,False
S000453,U001183,2024-06-09,Family,24.99,Annual,True
S000454,U001185,2025-09-19,Pro,14.99,Annual,True
S000455,U001188,2025-04-07,Pro,14.99,Monthly,True
S000456,U001190,2025-07-03,Family,19.99,Monthly,False
S000457,U001193,2024-06-04,Pro,12.99,Monthly,True
S000458,U001196,2024-07-05,Pro,19.99,Monthly,True
S000459,U001200,2025-01-11,Pro,14.99,Annual,True
S000460,U001201,2025-10-25,Pro,14.99,Annual,True
S000461,U001204,2025-11-14,Family,29.99,Monthly,True
S000462,U001206,2024-12-18,Pro,19.99,Monthly,True
S000463,U001207,2025-12-16,Pro,19.99,Annual,False
S000464,U001208,2025-07-19,Pro,14.99,Monthly,True
S000465,U001209,2025-02-09,Pro,19.99,Monthly,False
S000466,U001210,2024-12-11,Pro,12.99,Monthly,True
S000467,U001212,2025-06-04,Pro,19.99,Monthly,True
S000468,U001213,2025-07-31,Pro,19.99,Annual,False
S000469,U001215,2025-10-01,Family,19.99,Monthly,True
S000470,U001221,2024-09-23,Pro,14.99,Monthly,False
S000471,U001225,2025-10-25,Family,19.99,Monthly,True
S000472,U001227,2024-05-02,Pro,14.99,Annual,False
S000473,U001228,2025-04-17,Pro,12.99,Annual,False
