user_id,signup_date,country,device_type,acquisition_channel,plan_interest
U000221,2024-09-10,United States,Mobile,Organic Search,Free
U000222,2024-08-18,Netherlands,Desktop,Email Campaign,Free
U000223,2024-03-06,United States,Desktop,Email Campaign,Pro
U000224,2024-12-12,Canada,Desktop,Email Campaign,Free
U000225,2024-01-22,United Kingdom,Tablet,Organic Search,Free
U000226,2025-08-25,United States,Desktop,Paid Search,Free
U000227,2025-07-21,Germany,Tablet,Email Campaign,Free
U000228,2024-08-23,United Kingdom,Desktop,Direct,Free
U000229,2025-08-25,France,Desktop,Direct,Free
U000230,2024-08-13,United Kingdom,Tablet,Email Campaign,Free
U000231,2024-01-08,Canada,Mobile,Email Campaign,Pro
U000232,2024-03-13,Germany,Desktop,Paid Search,Free
U000233,2025-12-25,France,Desktop,Organic Search,Pro
U000234,2025-10-08,Australia,Mobile,Paid Search,Free
U000235,2024-03-01,United States,Tablet,Organic Search,Free
U000236,2024-08-22,United Kingdom,Mobile,Email Campaign,Pro
U000237,2024-03-10,United States,Desktop,Organic Search,Family
U000238,2024-02-02,Canada,Mobile,Email Campaign,Pro
U000239,2024-12-04,United States,Tablet,Referral,Free
U000240,2024-03-13,Germany,Desktop,Paid Search,Pro
U000241,2025-06-10,United States,Mobile,Paid Search,Free
U000242,2024-08-31,United Kingdom,Desktop,Email Campaign,Free
U000243,2024-10-12,France,Mobile,Email Campaign,Family
U000244,2025-11-16,Spain,Desktop,Organic Search,Free
U000245,2025-05-12,France,Desktop,Direct,Free
U000246,2024-08-07,United Kingdom,Mobile,Organic Search,Free
U000247,2025-07-06,Spain,Mobile,Email Campaign,Free
U000248,2024-05-15,United Kingdom,Mobile,Email Campaign,Pro
U000249,2025-08-07,United Kingdom,Mobile,Facebook Ads,Free
U000250,2025-08-13,Canada,Desktop,Email Campaign,Free
U000251,2025-04-29,United States,Mobile,Email Campaign,Pro
U000252,2024-09-05,Netherlands,Mobile,Email Campaign,Pro
U000253,2025-04-29,United Kingdom,Mobile,Paid Search,Family
U000254,2025-02-20,Australia,Desktop,Email Campaign,Family
U000255,2024-07-13,United States,Mobile,Email Campaign,Free
U000256,2024-04-06,Spain,Desktop,Email Campaign,Family
U000257,2024-04-09,Australia,Mobile,Email Campaign,Pro
U000258,2025-11-05,United Kingdom,Mobile,Organic Search,Free
U000259,2025-03-17,United States,Desktop,Organic Search,Pro
U000260,2024-12-28,United Kingdom,Mobile,Organic Search,Free
U000261,2025-03-09,France,Mobile,Facebook Ads,Pro
U000262,2025-02-24,Canada,Mobile,Paid Search,Free
U000263,2025-04-23,Canada,Desktop,Email Campaign,Free
U000264,2024-02-25,Australia,Mobile,Email Campaign,Free
U000265,2025-11-20,Netherlands,Desktop,Referral,Pro
U000266,2025-10-31,Canada,Tablet,Email Campaign,Free
U000267,2025-10-23,Germany,Mobile,Paid Search,Free
U000268,2024-04-10,United Kingdom,Desktop,Facebook Ads,Free
U000269,2024-03-03,United States,Desktop,Email Campaign,Free
U000270,2025-02-16,United Kingdom,Mobile,Paid Search,Family
U000271,2024-12-13,Netherlands,Desktop,Referral,Pro
U000272,2024-04-21,Australia,Mobile,Email Campaign,Free
U000273,2024-09-11,Australia,Desktop,Email Campaign,Pro
U000274,2024-07-15,France,Mobile,Paid Search,Free
U000275,2024-07-13,United States,Desktop,Email Campaign,Free
U000276,2025-07-03,United States,Tablet,Email Campaign,Family
U000277,2025-04-04,Australia,Desktop,Referral,Pro
U000278,2024-05-23,Spain,Desktop,Email Campaign,Free
U000279,2025-03-08,United States,Mobile,Direct,Free
U000280,2024-07-06,United States,Tablet,Paid Search,Free
U000281,2024-10-12,Canada,Tablet,Email Campaign,Pro
U000282,2025-04-18,Spain,Mobile,Organic Search,Free
U000283,2024-09-12,United Kingdom,Desktop,Email Campaign,Free
U000284,2024-03-18,United States,Desktop,Email Campaign,Free
U000285,2025-03-29,Canada,Mobile,Referral,Free
U000286,2025-07-17,Canada,Desktop,Email Campaign,Free
U000287,2024-04-10,United Kingdom,Tablet,Email Campaign,Pro
U000288,2024-02-21,Canada,Tablet,Email Campaign,Pro
U000289,2025-10-29,Spain,Mobile,Email Campaign,Pro
U000290,2025-07-07,United States,Tablet,Email Campaign,Free
U000291,2024-01-16,Canada,Desktop,Facebook Ads,Pro
U000292,2024-04-05,United States,Mobile,Email Campaign,Free
U000293,2024-08-30,United States,Desktop,Email Campaign,Family
U000294,2024-06-19,France,Desktop,Email Campaign,Free
U000295,2025-02-20,Netherlands,Desktop,Email Campaign,Free
U000296,2025-05-12,Australia,Desktop,Email Campaign,Family
U000297,2025-05-07,United States,Tablet,Email Campaign,Free
U000298,2024-08-06,United Kingdom,Mobile,Organic Search,Free
U000299,2025-02-14,United Kingdom,Mobile,Organic Search,Pro
U000300,2024-03-01,Australia,Tablet,Email Campaign,Free
U000301,2024-06-17,Netherlands,Desktop,Organic Search,Free
U000302,2025-01-23,Germany,Mobile,Email Campaign,Free
U000303,2024-01-03,United Kingdom,Tablet,Referral,Free
U000304,2025-02-03,United States,Mobile,Email Campaign,Free
U000305,2024-09-28,United States,Mobile,Email Campaign,Free
U000306,2025-04-10,Australia,Desktop,Referral,Family
U000307,2024-10-19,Germany,Mobile,Referral,Free
U000308,2025-03-09,Australia,Desktop,Email Campaign,Free
U000309,2025-12-14,United States,Desktop,Email Campaign,Free
U000310,2025-07-23,Canada,Mobile,Email Campaign,Free
U000311,2025-11-08,Canada,Mobile,Email Campaign,Pro
U000312,2025-05-13,Netherlands,Mobile,Organic Search,Free
U000313,2024-06-07,Australia,Mobile,Email Campaign,Free
U000314,2024-07-13,United States,Desktop,Email Campaign,Free
U000315,2024-10-30,United States,Mobile,Organic Search,Free
U000316,2024-08-10,United Kingdom,Mobile,Facebook Ads,Free
U000317,2024-02-29,United States,Desktop,Referral,Free
U000318,2025-08-16,France,Desktop,Email Campaign,Pro
U000319,2025-07-09,Netherlands,Desktop,Referral,Free
U000320,2024-03-03,United Kingdom,Tablet,Organic Search,Free
U000321,2024-11-17,France,Mobile,Direct,Free
U000322,2024-02-28,United Kingdom,Mobile,Organic Search,Free
U000323,2024-02-21,United States,Desktop,Referral,Free
U000324,2025-08-21,France,Mobile,Email Campaign,Free
U000325,2025-05-03,United States,Desktop,Email Campaign,Pro
U000326,2025-05-29,United States,Tablet,Organic Search,Free
U000327,2025-06-27,Spain,Tablet,Email Campaign,Pro
U000328,2024-06-10,United Kingdom,Mobile,Organic Search,Family
U000329,2024-02-28,France,Mobile,Referral,Pro
U000330,2025-06-04,Germany,Mobile,Organic Search,Free
U000331,2024-03-23,United Kingdom,Desktop,Email Campaign,Free
U000332,2024-07-09,Australia,Desktop,Paid Search,Pro
U000333,2024-03-11,Spain,Mobile,Direct,Pro
U000334,2025-09-01,United States,Tablet,Email Campaign,Pro
U000335,2024-03-10,United States,Mobile,Organic Search,Free
U000336,2025-11-22,United Kingdom,Mobile,Email Campaign,Pro
U000337,2024-08-28,Netherlands,Desktop,Facebook Ads,Free
U000338,2025-02-17,Australia,Desktop,Email Campaign,Free
U000339,2024-05-02,Germany,Mobile,Referral,Pro
U000340,2025-08-06,Canada,Desktop,Paid Search,Free
U000341,2024-09-09,Canada,Desktop,Email Campaign,Pro
U000342,2025-08-15,Spain,Desktop,Email Campaign,Family
U000343,2025-08-31,United States,Desktop,Email Campaign,Free
U000344,2024-02-10,Canada,Mobile,Paid Search,Pro
U000345,2025-09-26,Germany,Mobile,Facebook Ads,Free
U000346,2024-03-24,United States,Desktop,Email Campaign,Free
U000347,2025-03-05,Spain,Desktop,Email Campaign,Free
U000348,2025-11-04,Australia,Desktop,Paid Search,Free
U000349,2025-08-20,United States,Mobile,Facebook Ads,Pro
U000350,2025-08-01,Germany,Desktop,Email Campaign,Pro
U000351,2025-06-19,United States,Desktop,Organic Search,Pro
U000352,2024-11-19,Spain,Mobile,Email Campaign,Pro
U000353,2024-09-24,France,Tablet,Paid Search,Free
U000354,2024-07-28,United Kingdom,Desktop,Direct,Family
U000355,2025-11-16,United States,Desktop,Referral,Family
U000356,2024-11-17,United Kingdom,Mobile,Organic Search,Free
U000357,2024-09-01,Australia,Tablet,Organic Search,Family
U000358,2024-09-28,France,Tablet,Referral,Free
U000359,2025-02-09,Germany,Mobile,Organic Search,Free
U000360,2024-05-14,United Kingdom,Mobile,Paid Search,Pro
U000361,2025-11-18,Australia,Desktop,Email Campaign,Free
U000362,2025-10-22,Canada,Desktop,Email Campaign,Pro
U000363,2024-11-03,Australia,Mobile,Direct,Free
U000364,2025-04-13,Canada,Mobile,Organic Search,Family
U000365,2024-11-19,Spain,Mobile,Paid Search,Pro
U000366,2024-03-15,Germany,Mobile,Organic Search,Pro
U000367,2024-01-10,Australia,Desktop,Email Campaign,Free
U000368,2025-04-14,Canada,Mobile,Direct,Pro
U000369,2025-09-28,Canada,Desktop,Facebook Ads,Pro
U000370,2025-07-30,Netherlands,Mobile,Email Campaign,Free
U000371,2024-04-12,Canada,Desktop,Direct,Free
U000372,2024-03-16,United Kingdom,Desktop,Referral,Pro
U000373,2025-07-04,United Kingdom,Desktop,Paid Search,Free
U000374,2024-08-06,United States,Desktop,Email Campaign,Pro
U000375,2025-06-02,France,Mobile,Referral,Pro
U000376,2024-09-28,Germany,Mobile,Organic Search,Free
U000377,2024-05-15,United Kingdom,Desktop,Direct,Free
U000378,2024-12-23,France,Mobile,Email Campaign,Pro
U000379,2024-03-11,Australia,Desktop,Paid Search,Free
U000380,2024-09-07,Spain,Tablet,Paid Search,Family
U000381,2025-01-13,United States,Tablet,Facebook Ads,Free
U000382,2024-10-18,Germany,Desktop,Paid Search,Free
U000383,2024-06-10,Netherlands,Mobile,Facebook Ads,Free
U000384,2025-03-24,Spain,Desktop,Referral,Free
U000385,2025-07-10,United States,Mobile,Paid Search,Free
U000386,2025-12-21,Spain,Desktop,Direct,Free
U000387,2024-11-05,Australia,Mobile,Email Campaign,Free
U000388,2025-09-18,United States,Mobile,Email Campaign,Free
U000389,2025-10-31,Canada,Tablet,Paid Search,Free
U000390,2025-06-25,France,Desktop,Email Campaign,Family
U000391,2024-01-09,United Kingdom,Desktop,Email Campaign,Free
U000392,2025-11-14,Canada,Desktop,Email Campaign,Free
U000393,2025-07-21,France,Desktop,Direct,Free
U000394,2024-11-02,Spain,Tablet,Paid Search,Free
U000395,2025-11-10,United States,Mobile,Email Campaign,Free
U000396,2024-04-16,United States,Desktop,Direct,Free
U000397,2024-05-17,Australia,Desktop,Email Campaign,Free
U000398,2024-09-27,Germany,Mobile,Email Campaign,Family
U000399,2024-04-28,United States,Desktop,Email Campaign,Free
U000400,2024-04-19,United Kingdom,Desktop,Organic Search,Family
U000401,2025-07-20,United States,Desktop,Paid Search,Free
U000402,2024-06-08,United States,Mobile,Organic Search,Pro
U000403,2024-10-05,United States,Mobile,Email Campaign,Pro
U000404,2024-10-15,France,Desktop,Facebook Ads,Pro
U000405,2025-09-11,Australia,Mobile,Direct,Pro
U000406,2024-08-03,Germany,Desktop,Direct,Family
U000407,2024-12-17,United States,Mobile,Paid Search,Free
U000408,2024-07-27,United States,Desktop,Email Campaign,Free
U000409,2025-12-04,Spain,Mobile,Email Campaign,Free
U000410,2025-10-11,Germany,Desktop,Email Campaign,Family
U000411,2024-09-27,France,Tablet,Direct,Pro
U000412,2025-06-01,United States,Mobile,Organic Search,Pro
U000413,2025-05-15,Netherlands,Mobile,Organic Search,Free
U000414,2024-09-14,United Kingdom,Desktop,Organic Search,Family
U000415,2024-02-22,France,Desktop,Referral,Free
U000416,2024-04-04,France,Mobile,Email Campaign,Free
U000417,2025-10-11,Australia,Tablet,Paid Search,Family
U000418,2025-03-09,United States,Mobile,Referral,Pro
U000419,2024-10-10,Canada,Mobile,Email Campaign,Free
U000420,2024-02-15,United States,Desktop,Paid Search,Pro
U000421,2024-01-04,United Kingdom,Tablet,Email Campaign,Pro
U000422,2024-12-07,United States,Tablet,Email Campaign,Free
U000423,2024-05-13,France,Mobile,Paid Search,Free
U000424,2025-10-14,Germany,Desktop,Facebook Ads,Free
U000425,2024-09-25,United States,Desktop,Email Campaign,Free
U000426,2024-06-14,Australia,Desktop,Facebook Ads,Free
U000427,2025-03-28,Germany,Desktop,Email Campaign,Free
U000428,2025-07-18,France,Mobile,Organic Search,Free
U000429,2025-12-23,Netherlands,Desktop,Organic Search,Family
U000430,2025-03-13,United States,Mobile,Email Campaign,Free
U000431,2025-07-28,United States,Desktop,Facebook Ads,Free
U000432,2024-01-10,Spain,Desktop,Direct,Family
U000433,2024-04-24,Canada,Mobile,Facebook Ads,Pro
U000434,2024-03-18,Germany,Desktop,Organic Search,Family
U000435,2025-12-08,Germany,Desktop,Facebook Ads,Free
U000436,2024-06-01,Canada,Mobile,Email Campaign,Free
U000437,2025-07-12,Germany,Mobile,Organic Search,Free
U000438,2024-02-06,Netherlands,Desktop,Direct,Free
U000439,2025-01-13,United States,Desktop,Email Campaign,Pro
U000440,2025-08-19,Australia,Mobile,Organic Search,Free
U000441,2025-07-19,Germany,Tablet,Organic Search,Free
U000442,2024-05-31,United States,Desktop,Email Campaign,Free
U000443,2025-03-16,United Kingdom,Desktop,Referral,Pro
U000444,2024-05-10,Canada,Tablet,Email Campaign,Free
U000445,2024-02-12,Spain,Desktop,Paid Search,Pro
U000446,2024-11-11,United States,Tablet,Referral,Pro
U000447,2025-01-08,Spain,Tablet,Email Campaign,Free
U000448,2024-02-10,United States,Mobile,Organic Search,Pro
U000449,2025-01-01,Germany,Mobile,Organic Search,Free
U000450,2024-08-03,Spain,Desktop,Organic Search,Free
U000451,2025-11-29,Australia,Mobile,Facebook Ads,Free
U000452,2024-09-12,United Kingdom,Mobile,Email Campaign,Free
U000453,2025-11-13,United States,Desktop,Email Campaign,Pro
U000454,2024-04-15,United Kingdom,Desktop,Organic Search,Family
U000455,2024-12-28,United Kingdom,Mobile,Email Campaign,Free
U000456,2025-07-27,United States,Desktop,Email Campaign,Pro
U000457,2025-02-20,Spain,Mobile,Organic Search,Family
U000458,2025-09-27,Netherlands,Desktop,Email Campaign,Free
U000459,2024-06-07,France,Mobile,Email Campaign,Pro
U000460,2024-08-30,United States,Desktop,Email Campaign,Free
U000461,2024-06-15,United Kingdom,Desktop,Referral,Free
U000462,2024-06-30,Australia,Desktop,Organic Search,Free
U000463,2025-02-26,Canada,Mobile,Paid Search,Pro
U000464,2024-01-26,Canada,Tablet,Email Campaign,Free
U000465,2024-07-02,Netherlands,Mobile,Email Campaign,Pro
U000466,2024-12-06,Netherlands,Mobile,Paid Search,Free
U000467,2025-02-25,Australia,Tablet,Organic Search,Free
U000468,2025-11-16,United States,Mobile,Email Campaign,Free
U000469,2024-09-11,Germany,Tablet,Email Campaign,Free
U000470,2024-09-30,France,Mobile,Facebook Ads,Free
U000471,2024-06-12,Spain,Tablet,Email Campaign,Pro
